site,date,inverter_id,daily_kwh,daily_kwh_per_kwp
Bissell_Thrift_Shop,2025-12-01,1,0.0366,0.00328
Bissell_Thrift_Shop,2025-12-01,2,0.02745,0.00268
Bissell_Thrift_Shop,2025-12-01,3,0.02082,0.00224
Bissell_Thrift_Shop,2025-12-02,1,1.63743,0.14672
Bissell_Thrift_Shop,2025-12-02,2,1.45269,0.142
Bissell_Thrift_Shop,2025-12-02,3,1.11381,0.11976
Bissell_Thrift_Shop,2025-12-03,1,0.34027,0.03049
Bissell_Thrift_Shop,2025-12-03,2,0.28673,0.02803
Bissell_Thrift_Shop,2025-12-03,3,0.2055,0.0221
Bissell_Thrift_Shop,2025-12-04,1,0.862,0.07724
Bissell_Thrift_Shop,2025-12-04,2,0.75248,0.07356
Bissell_Thrift_Shop,2025-12-04,3,0.57966,0.06233
Bissell_Thrift_Shop,2025-12-05,1,0.18126,0.01624
Bissell_Thrift_Shop,2025-12-05,2,0.15232,0.01489
Bissell_Thrift_Shop,2025-12-05,3,0.10335,0.01111
Bissell_Thrift_Shop,2025-12-06,1,0.08846,0.00793
Bissell_Thrift_Shop,2025-12-06,2,0.09058,0.00885
Bissell_Thrift_Shop,2025-12-06,3,0.08697,0.00935
Bissell_Thrift_Shop,2025-12-07,1,0.03587,0.00321
Bissell_Thrift_Shop,2025-12-07,2,0.02888,0.00282
Bissell_Thrift_Shop,2025-12-07,3,0.02558,0.00275
Bissell_Thrift_Shop,2025-12-08,1,0.0104,0.00093
Bissell_Thrift_Shop,2025-12-08,2,0.00414,0.0004
Bissell_Thrift_Shop,2025-12-08,3,0.00286,0.00031
Bissell_Thrift_Shop,2025-12-09,1,0.00523,0.00047
Bissell_Thrift_Shop,2025-12-09,2,0.00209,0.0002
Bissell_Thrift_Shop,2025-12-09,3,0.00044,5e-05
Bissell_Thrift_Shop,2025-12-10,1,0.04109,0.00368
Bissell_Thrift_Shop,2025-12-10,2,0.03143,0.00307
Bissell_Thrift_Shop,2025-12-10,3,0.02545,0.00274
Bissell_Thrift_Shop,2025-12-11,1,0.00064,6e-05
Bissell_Thrift_Shop,2025-12-11,2,8e-05,1e-05
Bissell_Thrift_Shop,2025-12-11,3,0.0,0.0
Bissell_Thrift_Shop,2025-12-12,1,0.0,0.0
